postal_code,raw_visit_counts,raw_visitor_counts
10001,209963,132136
10002,119167,70359
10003,122046,79937
10004,40348,23974
10005,21564,11096
10006,16623,9776
10007,117113,79834
10009,59464,34074
10010,69162,41773
10011,100494,63510
10012,89104,65914
10013,122321,82392
10014,75144,47015
10016,127032,71441
10017,80709,44183
10018,112449,69123
10019,176844,101425
10020,9630,6099
10021,87550,45484
10022,126381,80193
10023,80869,45467
10024,83423,50944
10025,93074,54302
10026,39668,25493
10027,77581,46900
10028,70556,42747
10029,129585,68305
10030,25558,14687
10031,44874,26859
10032,65539,35012
10033,61380,35594
10034,44669,25598
10035,63525,34392
10036,128973,84697
10037,39197,22611
10038,62283,36143
10039,37165,19885
10040,38914,23198
10044,11573,7056
10065,107171,58976
10069,6081,2859
10075,33000,18784
10128,95583,51065
10280,6348,3668
10282,8734,4667
11101,2171,1203
11102,4426,2531
11103,4326,2129
11104,1373,677
11105,4908,2160
11106,2430,1397
11109,2,2
11201,22631,12944
11203,1953,1014
11204,5449,2183
11205,2232,1166
11206,1444,729
11207,29920,14225
11208,34903,19727
11209,18734,9518
11210,3531,1923
11211,38901,24692
11212,5958,2634
11213,6069,3379
11214,12292,6247
11215,31482,15057
11216,2359,1470
11217,1241,776
11218,2319,1487
11219,6795,4420
11220,5532,3111
11221,3487,1886
11222,3816,1875
11223,7936,3282
11224,6560,3803
11225,2664,1819
11226,8802,3806
11228,8990,3879
11229,9406,4961
11230,24919,13163
11231,6705,3926
11232,4582,2477
11233,9319,4831
11234,37382,18256
11235,27139,14017
11236,17480,7609
11237,3058,1533
11238,2124,1380
11239,7273,4161
11354,5913,2981
11355,34840,14572
11356,6349,2648
11357,2445,1072
11358,3697,1596
11360,4527,1933
11361,2870,1464
11362,2690,1241
11363,1743,763
11364,2435,1018
11365,4530,1893
11366,1,1
11367,4177,2092
11368,13133,7499
11369,1664,928
11370,1238,493
11372,6413,3381
11373,13404,7960
11374,885,515
11375,5974,2736
11377,7052,3711
11378,4351,2078
11379,8540,3430
11385,6013,2811
11411,2207,1086
11412,895,376
11413,8295,4581
11414,4257,1780
11415,905,529
11416,3287,1419
11417,3648,1810
11418,711,259
11419,873,458
11420,3958,2121
11421,8512,4345
11422,7992,4161
11423,1126,370
11426,3581,1621
11427,7132,3443
11428,850,400
11429,5753,2664
11432,6792,3640
11433,3448,1589
11434,3304,1574
11435,3373,1534
11436,6495,3312
11691,5403,2615
11692,6152,2958
11693,4325,1858
11694,4817,1956
